"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"88","fixed.beach.agric.water",239658.959715154,239659.171302056,0.00211206543018739,81.457,0.000255208413639071,-119823.479857577,1.03486765828193,0,0,6
"89","opend.scrub.urban",239659.318397864,239659.469151633,0.00184492899512875,82.219,6.4808065823736e-06,-119824.659198932,1.03488013647259,0,0,5
"90","opend.fixed.agric.water.urban",239658.987611899,239659.270440182,0.00259222764672451,83.064,0.000120141550823402,-119822.493805949,1.03485456867249,0,0,7
"91","scrub.agric.urban",239659.365317587,239659.516071356,0.00169546214542359,83.087,2.23234245100026e-05,-119824.682658794,1.03488041197527,0,0,5
"92","fixed.scrub.urban",239659.349308277,239659.500062046,0.00175512103734549,83.159,1.32845573386047e-05,-119824.674654139,1.03488028528254,1,0.1,5
"93","fixed.scrub.beach",239659.349539718,239659.500293486,0.00162438470329007,83.251,1.49212710650185e-05,-119824.674769859,1.03488026839885,0,0,5
"94","fixed.scrub.water",239659.35110553,239659.501859298,0.00163497887188526,83.319,1.76825772445433e-05,-119824.675552765,1.03488028778061,0,0,5
"95","scrub.beach.urban",239659.354391823,239659.505145592,0.00162499375472186,83.5,2.35226887273265e-05,-119824.677195911,1.03488035081374,0,0,5
"96","opend.fixed.scrub.beach.agric.water",239659.099310574,239659.463867536,0.00151419857814834,83.775,0.000221665339941895,-119821.549655287,1.03483977475116,0,0,8
"97","opend.fixed.scrub.water",239659.191354234,239659.402941135,0.00160049098455524,83.92,0.000171807669699779,-119823.595677117,1.03486528090784,0,0,6
"98","fixed.beach.water.urban",239659.266387622,239659.477974524,0.00168559731787022,86.446,4.31509112000205e-05,-119823.633193811,1.03486879189958,0,0,6
"99","opend.fixed.scrub.beach.water",239659.422792317,239659.7056206,0.00182904996150003,86.499,0.00025062125853794,-119822.711396158,1.03485276833437,0,0,7
"100","fixed.scrub.agric.water.urban",239659.344600003,239659.627428286,0.00180994577724691,86.83,0.000180564574216806,-119822.672300001,1.03485561367364,0,0,7
"101","opend.fixed.beach.agric.urban",239659.378474139,239659.661302422,0.00193218287219491,87.391,0.000242155637652896,-119822.689237069,1.03485721114108,0,0,7
"102","scrub.beach.agric.urban",239659.492997997,239659.704584899,0.00124211487669791,88.812,4.29642077320973e-05,-119823.746498999,1.03487099173327,0,0,6
"103","opend.fixed.scrub.water.urban",239659.956638357,239660.23946664,0.0018050737359754,93.266,2.4719740153476e-05,-119822.978319179,1.03485918522273,0,0,7
"104","opend.fixed.beach.agric.water",239659.918164957,239660.20099324,0.00146936444263724,93.609,0.000238716324636809,-119822.959082478,1.03486095983522,0,0,7
"105","opend.scrub.beach.agric.water.urban",239660.20282939,239660.567386352,0.00116621759584029,95.198,0.000270128775355217,-119822.101414695,1.03484568875982,0,0,8
"106","opend.fixed.scrub.beach.agric.urban",239660.276104617,239660.640661579,0.00114979086797565,95.758,5.85731246580182e-05,-119822.138052309,1.03484790776813,0,0,8
"107","opend.scrub.agric.water.urban",239660.038955206,239660.321783489,0.000866943766126864,96.082,0.000118583508513516,-119823.019477603,1.03485889136722,0,0,7
"108","opend.fixed.scrub.agric.water.urban",239660.386685363,239660.751242325,0.000931174740869189,96.699,4.12702084243157e-05,-119822.193342682,1.034848162528,0,0,8
"109","opend.beach.water.urban",239660.075713393,239660.287300295,0.000831850040445775,96.734,7.01930308212201e-05,-119824.037856697,1.03487170468914,0,0,6
"110","opend.beach.agric.water",239660.091291312,239660.302878213,0.00081939624318947,97.003,7.75475210603896e-05,-119824.045645656,1.03487143383358,0,0,6
"111","fixed.beach.agric.water.urban",239660.207217491,239660.490045774,0.000982841246108222,97.269,0.000159802985839952,-119823.103608746,1.03486231472139,0,0,7
"112","opend.scrub.beach.water.urban",239660.374777397,239660.65760568,0.000961277669118695,98.503,0.000226524470458249,-119823.187388699,1.03485945530875,0,0,7
"113","opend.fixed.beach.water",239660.391042965,239660.602629867,0.000802438153005593,99.808,8.81942477590827e-05,-119824.195521483,1.03487322376107,0,0,6
"114","opend.fixed.scrub.beach.agric.water.urban",239660.846568843,239661.211125805,0.000897289315989216,101.983,0.00018441519825251,-119822.423284421,1.03485239634239,0,0,8
"115","fixed.scrub.beach.agric.water.urban",239660.855216564,239661.219773526,0.000910858445850611,102.023,0.000184325001322571,-119822.427608282,1.03485240241264,0,0,8
"116","opend.fixed.beach.urban",239661.274463538,239661.48605044,0.000673224440728771,107.169,5.93676844429908e-06,-119824.637231769,1.03487970738204,0,0,6
"117","fixed.scrub.beach.urban",239661.286183512,239661.497770414,0.00064590992978895,107.922,5.34678675078909e-06,-119824.643091756,1.03487986505482,0,0,6
"118","opend.scrub.water.urban",239661.318187647,239661.529774549,0.000658626007154635,107.927,5.26295518622799e-06,-119824.659093824,1.0348800974729,0,0,6
"119","scrub.agric.water.urban",239661.310267414,239661.521854316,0.000635737786073876,107.951,2.79571119256963e-05,-119824.655133707,1.03487996798404,0,0,6
"120","fixed.scrub.beach.water",239661.34047942,239661.552066322,0.000588158625829774,108.784,1.82519940615914e-05,-119824.67023971,1.03488019644726,0,0,6
"121","fixed.scrub.water.urban",239661.350158021,239661.561744923,0.000607909015754843,108.826,1.33485097519841e-05,-119824.67507901,1.03488031329444,0,0,6
"122","scrub.beach.water.urban",239661.391550951,239661.603137853,0.000568052653556821,109.546,3.2764418568578e-06,-119824.695775475,1.03488054337864,0,0,6
"123","scrub.beach.agric.water.urban",239662.222491337,239662.50531962,0.000276634417998799,116.155,1.54626023115932e-05,-119824.111245668,1.03487346270425,0,0,7
"124","fixed.scrub.beach.water.urban",239663.248209915,239663.531038198,0.000247847892232445,121.407,6.24673084109941e-06,-119824.624104957,1.03487964138873,0,0,7
"125","opend.fixed.scrub.beach.urban",239663.303962778,239663.58679106,0.000225438469819969,122.098,4.18343322258126e-06,-119824.651981389,1.03487993332649,0,0,7
"126","opend.fixed.beach.water.urban",239663.308062108,239663.590890391,0.000218421613018126,122.209,5.67529712861876e-06,-119824.654031054,1.03487995768022,0,0,7
"127","opend.fixed.scrub.beach.water.urban",239665.261921849,239665.626478811,8.59858850185716e-05,126.946,4.87950615372193e-06,-119824.630960925,1.03487964982003,0,0,8
"128","opend.fixed.beach.agric.water.urban",239665.310959115,239665.675516077,8.10077148795009e-05,127.202,5.73806808792131e-06,-119824.655479558,1.03487998117969,0,0,8
