"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7"
"23","agric.fixed",-212947.823613237,4,425904.629691753,425904.70459812,0.000170318221778297,0.651871229770451,-212948.314845876,6.64062597899465,6.67067253298592,3.91370695800288,1,596.301991040499,2500,NA,NA,NA,NA
"24","agric.opend",-212948.776717388,4,425906.439767627,425906.514673994,5.64231442215169e-05,0.652072746353662,-212949.219883814,8.45070185296936,8.48074840696063,4.81874489597976,1,54.8471504472664,2500,NA,NA,NA,NA
"25","beach.scrub",-212945.980934304,4,425899.961868607,425900.036774974,4.00286558451811e-05,0.652027064032651,-212945.980934304,1.97280283295549,2.00284938700497,1.57979538600193,775.716062566452,1,2500,NA,NA,NA,NA
"26","beach.fixed",-212948.901955521,4,425905.803911043,425905.87881741,5.30449700341554e-06,0.651925056348779,-212948.901955521,7.81484526896384,7.84489182295511,4.50081660298747,2.64374270878943,2500,1,NA,NA,NA,NA
"27","beach.opend",-212948.730541336,4,425906.049139948,425906.124046315,7.27661979358381e-05,0.652068170806369,-212949.024569974,8.06007417396177,8.09012072795304,4.6234310559812,1,2500,1392.50498125029,NA,NA,NA,NA
"28","scrub.fixed",-99999,4,425907.67097823,425907.745884597,8.36222651646832e-08,0.651953629839433,-212949.835489115,9.68191245599883,9.7119590099901,5.43435019699973,1,2500,2148.00563092934,NA,NA,NA,NA
"29","scrub.opend",-212948.551976598,4,425905.785933881,425905.860840248,9.03014247267092e-05,0.65203259576955,-212948.89296694,7.79686810699059,7.82691466098186,4.49182802200085,1,2500,835.880261060989,NA,NA,NA,NA
"30","fixed.opend",-212948.917180613,4,425906.164635841,425906.239542208,5.27560005132485e-05,0.652075272820806,-212949.082317921,8.17557006696006,8.20561662095133,4.68117900300422,1,2500,2454.9139871245,NA,NA,NA,NA
"31","urban.water.agric",-212948.462585199,5,425907.491337329,425907.603907686,4.66091156283629e-05,0.651629909709616,-212948.745668665,9.50227155495668,9.56998209899757,4.34452974700253,1,2500,1041.2198263864,102.365816095055,NA,NA,NA
"32","urban.water.beach",-212945.071510102,5,425900.118169464,425900.23073982,0.00013558730536826,0.652024423985183,-212945.059084732,2.12910368997836,2.19681423297152,0.6579458139895,663.988106314689,1,8.19343318721076,2500,NA,NA,NA
"33","urban.water.scrub",-99999,5,425909.478302264,425909.590872621,6.42545034797039e-06,0.651960294755565,-212949.739151132,11.4892364899861,11.5569470339688,5.33801221399335,1,1609.53265820565,2500,2205.34821804812,NA,NA,NA
"34","urban.water.fixed",-212947.689805009,5,425907.086139479,425907.198709835,8.20666980225053e-05,0.651652790461304,-212948.54306974,9.09707370499382,9.16478424798697,4.14193082199199,1,2500,25.5140939070266,653.759049296725,NA,NA,NA
"35","urban.water.opend",-212948.780044023,5,425908.442798596,425908.555368953,5.55819653591872e-05,0.6520701840481,-212949.221399298,10.453732821974,10.5214433659567,4.8202603799873,1,13.2894953198024,53.8535597005034,2500,NA,NA,NA
"36","urban.agric.beach",-212945.205218528,5,425900.410318184,425900.522888541,0.000133917654490246,0.651995277074997,-212945.205159092,2.42125240998575,2.48896295396844,0.804020173993194,2496.6868713279,1,952.809481498878,2500,NA,NA,NA
"37","urban.agric.scrub",-99999,5,425909.629810608,425909.742380964,1.43168702566119e-06,0.651970997171428,-212949.814905304,11.6407448339742,11.7084553769673,5.4137663859874,1,1953.42093803003,23.1095953676454,2500,NA,NA,NA
"38","urban.agric.fixed",-212945.596280799,5,425901.219506277,425901.332076633,0.000169549375944892,0.651382120752765,-212945.609753138,3.23044050298631,3.29815104597947,1.20861421999871,1,2500,83.2133089424515,246.345098616554,NA,NA,NA
"39","urban.agric.opend",-212948.383579573,5,425907.241385269,425907.353955625,5.16809705060541e-05,0.651592918938542,-212948.620692634,9.25231949496083,9.32003003795398,4.21955371598597,1,2500,209.856901818282,3.59192225575725,NA,NA,NA
"40","urban.beach.scrub",-99999,5,425909.674516039,425909.787086395,5.41020891882275e-10,0.651955786829217,-212949.837258019,11.6854502650094,11.7531608080026,5.43611910098116,1,2500,1699.61710025654,266.481869765088,NA,NA,NA
"41","urban.beach.fixed",-212948.232972524,5,425906.816852219,425906.929422575,1.74662283660879e-05,0.65184543647402,-212948.408426109,8.82778644497739,8.89549698797055,4.00728719099425,1,2500,8.61738238321323,473.257389635022,NA,NA,NA
"42","urban.beach.opend",-212945.985963421,5,425901.97529625,425902.087866607,7.25534420979425e-05,0.651917735264362,-212945.987648125,3.98623047600267,4.05394101998536,1.58650920700165,83.1491417966549,1,2500,62.8451081545804,NA,NA,NA
"43","urban.scrub.fixed",-99999,5,425909.654462311,425909.767032667,4.1668497076649e-07,0.651952222165488,-212949.827231155,11.6653965369915,11.7331070799846,5.42609223700128,1,27.3989549667276,1293.09042593281,2500,NA,NA,NA
"44","urban.scrub.opend",-99999,5,425909.622461418,425909.735031774,3.94389597354354e-07,0.651951158977072,-212949.811230709,11.633395643963,11.7011061869562,5.41009179098182,1,2475.83770726186,295.299401726591,2500,NA,NA,NA
"45","urban.fixed.opend",-212946.865574892,5,425903.73111281,425903.843683167,5.23489088893908e-05,0.651778870495059,-212946.865556405,5.74204703600844,5.80975757999113,2.46441748700454,1,2500,533.474910312977,100.3752511387,NA,NA,NA
"46","water.agric.beach",-212948.886076921,5,425907.804372911,425907.916943267,5.26431460111331e-06,0.651926533933563,-212948.902186455,9.8153071369743,9.88301767996745,4.5010475369927,1,15.2789936092245,7.3840410359071,2500,NA,NA,NA
"47","water.agric.scrub",-212948.859718966,5,425908.623926941,425908.736497298,5.18354828044457e-05,0.651795853554607,-212949.311963471,10.6348611669964,10.7025717109791,4.91082455299329,1,887.636557279342,30.7958346503519,2500,NA,NA,NA
"48","water.agric.fixed",-212947.756143942,5,425906.44256472,425906.555135076,0.000165091622411588,0.651861097836864,-212948.22128236,8.45349894597894,8.52120948897209,3.82014344198979,1,149.854671361154,596.288035800835,2500,NA,NA,NA
"49","water.agric.opend",-212948.763703557,5,425908.400389173,425908.51295953,5.87905586449093e-05,0.652102652364311,-212949.200194587,10.411323398992,10.4790339429746,4.79905566899106,1,519.429023751863,2028.76476473162,2500,NA,NA,NA
"50","water.beach.scrub",-212945.851194783,5,425901.674411077,425901.786981434,3.86283489252348e-05,0.652030660705135,-212945.837205539,3.6853453029762,3.75305584695889,1.43606662098318,721.278981295289,176.880244206719,1,2500,NA,NA,NA
"51","water.beach.fixed",-212948.899695607,5,425907.799391216,425907.911961572,5.31830599261744e-06,0.651925260855074,-212948.899695608,9.81032544199843,9.87803598499158,4.49855668999953,2.61307854298593,13.0837233101734,2500,1,NA,NA,NA
