"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","dunearea","Feature6","Feature7"
"233","Distance",-14611.4510142396,2,29226.9020284791,29226.9922540431,4.19081439812105e-05,0.612842086299509,-14611.4510142396,1.25911821940099,1.31949303709916,1.19285279279939,NA,NA,NA,NA,NA,"teryde",NA,NA
"234","opend",-14611.3939048966,3,29229.4051939133,29229.5870120951,2.41249874078466e-05,0.612930842446745,-14611.7025969566,3.7622836535993,3.91425108909971,1.44443550980031,2500,1,NA,NA,NA,"teryde",NA,NA
"235","fixed",-14611.4454929509,3,29229.1074547354,29229.2892729172,0.000255348585804954,0.612603901534431,-14611.5537273677,3.46454447570068,3.61651191120109,1.29556592090012,1,2500,NA,NA,NA,"teryde",NA,NA
"236","scrub",-14611.3579190483,3,29228.7866434135,29228.9684615953,4.04037019190398e-05,0.61303294440776,-14611.3933217067,3.14373315379999,3.2957005893004,1.13516025990066,2500,1,NA,NA,NA,"teryde",NA,NA
"237","beach",-14611.4510142396,3,29228.9020284791,29229.083846661,4.19081439812105e-05,0.612842086299509,-14611.4510142396,3.25911821940099,3.41108565499962,1.19285279279939,1,2500,NA,NA,NA,"teryde",NA,NA
"238","agric",-14611.4510142396,3,29228.9020284791,29229.083846661,4.19081439812105e-05,0.612842086299509,-14611.4510142396,3.25911821940099,3.41108565499962,1.19285279279939,1,2500,NA,NA,NA,"teryde",NA,NA
"239","water",-14611.4510142396,3,29228.9020284791,29229.0838466609,4.19081439438563e-05,0.61284208659562,-14611.4510142395,3.25911821940099,3.41108565489776,1.19285279269934,0.999999999999545,2500,NA,NA,NA,"teryde",NA,NA
"240","urban",-14611.341291564,3,29229.4635341427,29229.6453523245,2.03153291404331e-05,0.613263846509009,-14611.7317670714,3.82062388299892,3.97259131849933,1.47360562460017,2500,1,NA,NA,NA,"teryde",NA,NA
"241","Null",-14611.8214551299,1,29225.6429102597,29225.672761006,0,0.612961762292816,-14611.8214551299,0,0,1.56329368310071,NA,NA,NA,NA,NA,"teryde",NA,NA
"242","Distance",-14611.4510142396,2,29226.9020284791,29226.992254043,4.19081439990197e-05,0.612842086158378,-14611.4510142396,1.25911821940099,1.31949303700094,1.19285279279939,NA,NA,NA,NA,NA,"teryde",NA,NA
"243","opend.fixed",-14611.5554083928,4,29231.6311292327,29231.9364727441,1.39046056139724e-06,0.612956980997041,-14611.8155646163,5.98821897300149,6.26371173809821,1.55740316949959,55.3037618191115,1,2500,NA,NA,"teryde",NA,NA
"244","opend.scrub",-14611.2771159479,4,29230.9933797742,29231.2987232856,0.000107647243023447,0.612994490523767,-14611.4966898871,5.35046951450204,5.62596227959875,1.2385284403008,69.4164942126135,1,2500,NA,NA,"teryde",NA,NA
"245","opend.beach",-14611.3977632925,4,29230.795526585,29231.1008700964,5.55557832196434e-05,0.612865474780809,-14611.3977632925,5.15261632530019,5.42810909040054,1.13960184569987,1.9140697350208,1,2500,NA,NA,"teryde",NA,NA
"246","opend.agric",-14611.3939080878,4,29230.7878161755,29231.093159687,5.75097411618856e-05,0.612867780519671,-14611.3939080878,5.14490591580034,5.42039868099891,1.13574664100088,2.1435487853546,1,2500,NA,NA,"teryde",NA,NA
"247","opend.water",-14611.3939979754,4,29230.7879959509,29231.0933394623,5.74841990772078e-05,0.612867754117861,-14611.3939979754,5.14508569120153,5.42057845629824,1.13583652859961,2.14134210824204,1,2500,NA,NA,"teryde",NA,NA
"248","opend.urban",-14611.4482268465,4,29231.6378359931,29231.9431795046,8.04858741781215e-07,0.61301144648149,-14611.8189179966,5.99492573340103,6.27041849859961,1.56075654979941,83.5499412689364,2500,1,NA,NA,"teryde",NA,NA
"249","fixed.scrub",-14611.3092958736,4,29231.1314952792,29231.4368387906,8.62604502703128e-05,0.613132469850485,-14611.5657476396,5.48858501950235,5.76407778459907,1.30758619280095,1,1144.0305925152,2500,NA,NA,"teryde",NA,NA
"250","fixed.beach",-14611.4454929519,4,29230.8910005118,29231.1963440232,4.25946331597348e-05,0.612845764703875,-14611.4455002559,5.24809025210197,5.52358301719869,1.18733880910077,1,1.12495548467041,2500,NA,NA,"teryde",NA,NA
"251","fixed.agric",-14611.3902180684,4,29230.9133080174,29231.2186515288,4.22107977989777e-05,0.612871538144723,-14611.4566540087,5.27039775770027,5.54589052280062,1.19849256189991,1,4.97266525170471,2500,NA,NA,"teryde",NA,NA
"252","fixed.water",-14611.4442315137,4,29230.91520273,29231.2205462414,4.14333703256271e-05,0.612865106495941,-14611.457601365,5.27229247030118,5.5477852353979,1.19943991820037,1,1.83576908281293,2500,NA,NA,"teryde",NA,NA
"253","fixed.urban",-14611.5364425016,4,29230.5380559981,29230.8433995095,0.000156070453456401,0.613120584128374,-14611.269027999,4.89514573839915,5.1706385034995,1.01086655220024,1,2500,469.000820112698,NA,NA,"teryde",NA,NA
"254","scrub.beach",-14611.3637012211,4,29230.7321399645,29231.0374834759,5.82167624410196e-05,0.612859332158883,-14611.3660699822,5.08922970480126,5.36472246989797,1.10790853539947,1,12.6304626513374,2500,NA,NA,"teryde",NA,NA
"255","scrub.agric",-14611.2817697377,4,29230.5931024392,29230.8984459507,7.58055573585252e-05,0.612860505950483,-14611.2965512196,4.95019217950176,5.22568494470033,1.03838977280066,1,29.4555709080919,2500,NA,NA,"teryde",NA,NA
"256","scrub.water",-14611.3536387153,4,29230.7568726247,29231.0622161362,6.37860331322175e-05,0.612870261247692,-14611.3784363124,5.1139623650015,5.38945513020008,1.12027486559964,1,30.7342028596167,2500,NA,NA,"teryde",NA,NA
"257","scrub.urban",-14611.6359269238,4,29231.2776972366,29231.583040748,6.75996448870094e-05,0.613022382976504,-14611.6388486183,5.63478697690152,5.91027974199824,1.38068717150054,1,2500,184.112321678948,NA,NA,"teryde",NA,NA
"258","beach.agric",-14611.4510142396,4,29230.9020284791,29231.2073719905,4.19081439990197e-05,0.612842086158378,-14611.4510142396,5.25911821940099,5.5346109844977,1.19285279279939,1,2500,932.764646714866,NA,NA,"teryde",NA,NA
"259","beach.water",-14611.4510142396,4,29230.9020284791,29231.2073719905,4.19081439990197e-05,0.612842086158378,-14611.4510142396,5.25911821940099,5.5346109844977,1.19285279279939,1,1836.21510762358,2500,NA,NA,"teryde",NA,NA
"260","beach.urban",-14611.3412919128,4,29230.6825838256,29230.9879273371,5.12429527323249e-05,0.612905847683077,-14611.3412919128,5.03967356590147,5.31516633110004,1.08313046600051,1.75477460357251,2500,1,NA,NA,"teryde",NA,NA
"261","agric.water",-14611.4510142396,4,29230.9020284791,29231.2073719905,4.19081439990197e-05,0.612842086158378,-14611.4510142396,5.25911821940099,5.5346109844977,1.19285279279939,1,2412.12792636933,2500,NA,NA,"teryde",NA,NA
"262","agric.urban",-14611.3433936716,4,29230.9192806356,29231.224624147,3.88559607521588e-05,0.613040806196125,-14611.4596403178,5.27637037590102,5.55186314099774,1.20147887100029,3.55750665663254,2500,1,NA,NA,"teryde",NA,NA
"263","water.urban",-14611.3411017222,4,29230.7972756758,29231.1026191872,4.47826785882816e-05,0.612942169015583,-14611.3986378379,5.15436541609961,5.42985818119996,1.14047639109958,2.098003965315,2500,1,NA,NA,"teryde",NA,NA
"264","opend.fixed.scrub",-14611.2695359056,5,29233.1737718863,29233.6353103479,7.39473723935773e-05,0.613175557392711,-14611.5868859432,7.53086162660111,7.96254934190074,1.32872449639945,1,41.4489918883824,1105.36622342037,2500,NA,"teryde",NA,NA
